id,name,country,city
1,манера,Доминиканская Республика,ст. Лодейное Поле
2,интернет,Польша,г. Тулпан
3,коробка,Гренада,клх Сосногорск
4,оборот,Словакия,с. Двинской
5,стакан,Маврикий,г. Карачаевск
6,монета,Эквадор,клх Уренгой
7,поколение,Венгрия,к. Чокурдах
8,около,Пакистан,п. Мирный
9,функция,Филиппины,г. Кемерово
10,магазин,Испания,д. Тарко-Сале
11,ручей,Монако,к. Семлячики
12,правление,Гондурас,клх Горячий Ключ
13,печатать,Доминика,клх Череповец
14,плод,Колумбия,с. Уренгой
15,школьный,Вануату,с. Истра
16,важный,Антигуа и Барбуда,д. Гатчина
17,зачем,Чили,г. Кедровый
18,возмутиться,Армения,ст. Яр-Сале
19,тревога,Уганда,клх Чегем
20,господь,Кирибати,п. Таштагол
21,порода,Сенегал,с. Кетченеры
22,страсть,Судан,ст. Магнитогорск
23,возможно,Мексика,клх Листвянка (Иркут.)
24,опасность,Бангладеш,к. Курск
25,вообще,Северная Македония,ст. Павловская
26,степь,Сент-Люсия,с. Благовещенск (Амур.)
27,кольцо,Мадагаскар,с. Ухта
28,термин,Сирия,г. Калининград
29,пасть,Аргентина,ст. Нижнеудинск
30,художественный,Руанда,п. Шатура
31,засунуть,Таджикистан,ст. Пушкинские Горы
32,спалить,Ямайка,д. Усть-Калманка
33,пространство,Монако,клх Светлогорск (Калин.)
34,трубка,Коморы,д. Качканар
35,тяжелый,Греция,клх Светлогорск (Калин.)
36,непривычный,Монако,с. Старая Русса
37,трясти,Катар,д. Красная Поляна
38,через,Сейшельские Острова,клх Серпухов
39,демократия,Великобритания,д. Мончегорск
40,анализ,Лихтенштейн,с. Каргасок
41,угол,Боливия,п. Пятигорск
42,сходить,Израиль,клх Бавлы
43,дьявол,Лихтенштейн,д. Калач
44,заведение,Мавритания,ст. Вендинга
45,забирать,Сьерра-Леоне,г. Стрежевой
46,задрать,Израиль,клх Сальск
47,развернуться,Науру,с. Инта
48,за,Лихтенштейн,ст. Тюмень
49,карман,Мозамбик,д. Горячинск
50,кожа,Перу,клх Когалым
